country,Non-Local Mappers,Local Mappers,Total Users,Total Changesets,Local Changesets,Non-Local Changesets,< 42 Days Editing,>= 42 Days Editing
Philippines,547.0,519.0,1066,51873,23748,28125,776.0,290.0
Poland,225.0,943.0,1127,32517,29779,2738,767.0,360.0
Portugal,90.0,144.0,218,3109,2439,670,132.0,86.0
Puerto Rico,12.0,14.0,26,77,55,22,12.0,14.0
Qatar,20.0,7.0,27,351,64,287,8.0,19.0
Republic of Congo,22.0,6.0,27,127,25,102,9.0,18.0
Republic of Serbia,88.0,72.0,157,2542,1777,765,82.0,75.0
Romania,126.0,145.0,227,4834,3014,1820,139.0,88.0
Russia,245.0,1319.0,1548,28703,26382,2321,1096.0,452.0
Rwanda,25.0,11.0,36,493,325,168,23.0,13.0
Saudi Arabia,46.0,121.0,163,1195,862,333,124.0,39.0
Senegal,36.0,16.0,52,287,138,149,35.0,17.0
Sierra Leone,15.0,3.0,17,61,9,52,7.0,10.0
Slovakia,153.0,132.0,255,4328,2214,2114,135.0,120.0
Slovenia,87.0,68.0,155,1798,1098,700,85.0,70.0
Solomon Islands,9.0,,9,55,0,55,6.0,3.0
Somalia,307.0,197.0,500,4581,2087,2494,461.0,39.0
Somaliland,40.0,28.0,42,1219,684,535,34.0,8.0
South Africa,77.0,90.0,164,3024,2301,723,86.0,78.0
South Korea,24.0,119.0,143,2062,1944,118,99.0,44.0
South Sudan,34.0,12.0,46,733,231,502,28.0,18.0
Spain,164.0,598.0,738,14495,12918,1577,501.0,237.0
Sri Lanka,35.0,49.0,84,914,772,142,55.0,29.0
Sudan,45.0,15.0,59,285,79,206,32.0,27.0
Suriname,38.0,9.0,47,962,508,454,32.0,15.0
Swaziland,11.0,2.0,11,84,22,62,5.0,6.0
Sweden,78.0,300.0,376,4286,3488,798,257.0,119.0
Switzerland,228.0,425.0,585,9740,7754,1986,404.0,181.0
Syria,99.0,34.0,133,525,90,435,108.0,25.0
Taiwan,28.0,82.0,110,1301,1201,100,70.0,40.0
Tajikistan,67.0,30.0,83,746,419,327,62.0,21.0
Thailand,100.0,156.0,248,5169,4292,877,166.0,82.0
The Bahamas,4.0,,4,22,0,22,,4.0
Togo,270.0,76.0,280,3285,1026,2259,246.0,34.0
Trinidad and Tobago,29.0,,29,982,0,982,12.0,17.0
Tunisia,24.0,10.0,34,99,51,48,13.0,21.0
Turkey,167.0,216.0,380,5196,3624,1572,280.0,100.0
Turkmenistan,17.0,14.0,29,64,30,34,15.0,14.0
Uganda,104.0,126.0,219,5452,3906,1546,156.0,63.0
Ukraine,196.0,571.0,732,11945,10128,1817,483.0,249.0
United Arab Emirates,25.0,26.0,48,415,111,304,26.0,22.0
United Kingdom,273.0,1452.0,1722,44278,40973,3305,1211.0,511.0
United Republic of Tanzania,163.0,194.0,351,8437,6472,1965,236.0,115.0
United States of America,626.0,3184.0,3766,249798,238410,11388,2560.0,1206.0
Uruguay,18.0,7.0,25,239,55,184,9.0,16.0
Uzbekistan,233.0,96.0,320,3201,1314,1887,271.0,49.0
Venezuela,72.0,34.0,106,1231,373,858,64.0,42.0
Vietnam,328.0,376.0,703,60711,51046,9665,558.0,145.0
Western Sahara,2.0,,2,26,0,26,2.0,
Yemen,18.0,37.0,55,378,262,116,42.0,13.0
Zambia,136.0,2175.0,2308,20315,18901,1414,2274.0,34.0
Zimbabwe,8.0,15.0,23,58,46,12,17.0,6.0
