,Users,Users,Changesets,Changesets,Edits,Edits,Users with > 1 day,Users with > 1 day,Changesets from users with > 1 day,Changesets from users with > 1 day,Editsfrom users with > 1 day,Editsfrom users with > 1 day,Users with >= 42 Days,Users with >= 42 Days,Changesets from users with >= 42 days,Changesets from users with >= 42 days,Edits from users with >= 42 days,Edits from users with >= 42 days
is_local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,< 42 Days,">=42 Days
(""Active Contributors"")",< 42 Days,">=42 Days
(""Active Contributors"")",< 42 Days,">=42 Days
(""Active Contributors"")"
country,,,,,,,,,,,,,,,,,,
Mexico,2057.0,2478.0,172421.0,536939.0,12516556.0,27556415.0,1841.0,880.0,171557.0,532444.0,11565012.0,27428358.0,3102.0,1433.0,34439.0,674921.0,2896109.0,37176862.0
Micronesia,21.0,2.0,48.0,10.0,10747.0,91.0,21.0,,48.0,,10747.0,,4.0,19.0,12.0,46.0,635.0,10203.0
Moldova,322.0,371.0,4518.0,15073.0,294505.0,1757016.0,285.0,124.0,4466.0,14424.0,294267.0,1749216.0,465.0,228.0,3026.0,16565.0,145428.0,1906093.0
Monaco,142.0,8.0,1787.0,10.0,33512.0,94.0,133.0,,1772.0,,33422.0,,52.0,98.0,111.0,1686.0,1588.0,32018.0
Mongolia,1156.0,1004.0,13234.0,20924.0,1916130.0,3896472.0,1048.0,390.0,13007.0,18669.0,1890232.0,3724905.0,1862.0,298.0,22903.0,11255.0,4360918.0,1451684.0
Montenegro,294.0,118.0,3167.0,1232.0,336895.0,87596.0,263.0,27.0,3116.0,1101.0,335273.0,86509.0,244.0,168.0,1737.0,2662.0,74093.0,350398.0
Montserrat,16.0,,54.0,,2170.0,,16.0,,54.0,,2170.0,,1.0,15.0,3.0,51.0,18.0,2152.0
Morocco,548.0,487.0,5473.0,6103.0,370989.0,499317.0,495.0,119.0,5380.0,5343.0,369748.0,473499.0,715.0,320.0,5522.0,6054.0,201285.0,669021.0
Mozambique,743.0,201.0,10199.0,10596.0,2040467.0,1044710.0,676.0,85.0,10035.0,10178.0,2017510.0,1022004.0,546.0,398.0,4745.0,16050.0,790942.0,2294235.0
Myanmar,1165.0,946.0,28203.0,18453.0,2487746.0,2529671.0,1014.0,304.0,27675.0,16779.0,2447221.0,2484985.0,1586.0,525.0,16235.0,30421.0,2079094.0,2938323.0
Namibia,840.0,,39901.0,,1944867.0,,596.0,,39077.0,,1861664.0,,551.0,289.0,3021.0,36880.0,385980.0,1558887.0
Nauru,26.0,,86.0,,4079.0,,26.0,,86.0,,4079.0,,5.0,21.0,6.0,80.0,225.0,3854.0
Nepal,1502.0,1720.0,18362.0,48892.0,3353947.0,10018452.0,1256.0,573.0,17629.0,45088.0,3288954.0,9739972.0,2755.0,467.0,25811.0,41443.0,3747492.0,9624907.0
Netherlands,2055.0,3353.0,43378.0,175471.0,2095759.0,12022463.0,1637.0,1483.0,42559.0,170663.0,2086873.0,11946724.0,4556.0,852.0,47333.0,171516.0,1151177.0,12967045.0
New Caledonia,120.0,73.0,2178.0,1033.0,106436.0,56451.0,115.0,29.0,2159.0,974.0,106011.0,55113.0,92.0,101.0,1159.0,2052.0,57324.0,105563.0
New Zealand,487.0,742.0,36921.0,35290.0,1543881.0,3150621.0,450.0,351.0,36853.0,34142.0,1538041.0,3122142.0,928.0,301.0,10926.0,61285.0,522303.0,4172199.0
Nicaragua,441.0,273.0,4238.0,4407.0,425850.0,130752.0,405.0,91.0,4179.0,3696.0,424171.0,95047.0,505.0,209.0,3254.0,5391.0,177024.0,379578.0
Niger,932.0,618.0,7385.0,11038.0,1667638.0,1573165.0,781.0,262.0,6673.0,7690.0,1560220.0,1218371.0,1260.0,290.0,13516.0,4907.0,1957072.0,1283731.0
Nigeria,2305.0,2577.0,33385.0,60550.0,5720578.0,25309996.0,1923.0,799.0,32214.0,49510.0,5603011.0,24329991.0,4315.0,567.0,42898.0,51037.0,4778920.0,26251654.0
Niue,14.0,1.0,29.0,2.0,530.0,8.0,14.0,,29.0,,530.0,,4.0,11.0,13.0,18.0,145.0,393.0
Norfolk Island,13.0,,20.0,,1540.0,,12.0,,19.0,,1539.0,,2.0,11.0,2.0,18.0,166.0,1374.0
North Korea,337.0,20.0,6487.0,905.0,1620097.0,460616.0,326.0,13.0,6473.0,896.0,1619526.0,460219.0,113.0,244.0,616.0,6776.0,108142.0,1972571.0
North Macedonia,319.0,136.0,3989.0,6236.0,413499.0,461115.0,285.0,41.0,3918.0,5994.0,411563.0,458053.0,273.0,182.0,2516.0,7709.0,128793.0,745821.0
Northern Mariana Islands,27.0,4.0,119.0,11.0,40903.0,48.0,27.0,1.0,119.0,3.0,40903.0,11.0,7.0,24.0,15.0,115.0,357.0,40594.0
Norway,670.0,1304.0,15804.0,51554.0,1207330.0,36281941.0,620.0,634.0,15681.0,49813.0,1198445.0,36164136.0,1585.0,389.0,24968.0,42390.0,7931007.0,29558264.0
Oman,199.0,90.0,3105.0,1157.0,520344.0,39939.0,178.0,21.0,3072.0,983.0,519481.0,37461.0,158.0,131.0,683.0,3579.0,25609.0,534674.0
Pakistan,504.0,573.0,6093.0,20597.0,535399.0,1386703.0,480.0,164.0,6039.0,19817.0,534238.0,1371623.0,781.0,296.0,8980.0,17710.0,508495.0,1413607.0
Palau,29.0,,79.0,,3112.0,,29.0,,79.0,,3112.0,,10.0,19.0,34.0,45.0,834.0,2278.0
Palestinian Territory,667.0,410.0,7196.0,1776.0,593603.0,54934.0,425.0,99.0,6611.0,1292.0,581849.0,50999.0,932.0,145.0,4656.0,4316.0,114249.0,534288.0
Panama,336.0,268.0,7499.0,7908.0,810772.0,683542.0,322.0,69.0,7480.0,7421.0,810574.0,665725.0,380.0,224.0,2335.0,13072.0,199956.0,1294358.0
Papua New Guinea,279.0,55.0,6367.0,3388.0,1029363.0,822728.0,271.0,22.0,6298.0,3202.0,1023864.0,804596.0,116.0,218.0,1388.0,8367.0,203759.0,1648332.0
Paraguay,546.0,392.0,11497.0,8686.0,1441563.0,4287740.0,455.0,199.0,11315.0,8276.0,1413409.0,4089658.0,599.0,339.0,7220.0,12963.0,3694817.0,2034486.0
Peru,3587.0,5677.0,65066.0,88785.0,7980454.0,8198259.0,2925.0,1503.0,63226.0,72174.0,7851970.0,7408872.0,8522.0,742.0,60741.0,93110.0,4281543.0,11897170.0
Philippines,5312.0,8170.0,177761.0,247406.0,11130932.0,26974750.0,4423.0,2667.0,175380.0,219857.0,10953675.0,25508246.0,12505.0,977.0,138353.0,286814.0,8667476.0,29438206.0
Pitcairn,14.0,,51.0,,1428.0,,14.0,,51.0,,1428.0,,3.0,11.0,25.0,26.0,738.0,690.0
Poland,1994.0,6395.0,32860.0,349551.0,2156065.0,41558021.0,1716.0,2857.0,32277.0,340457.0,2144458.0,41416355.0,7252.0,1137.0,99760.0,282651.0,3679148.0,40034938.0
Portugal,877.0,1627.0,10259.0,52399.0,909165.0,6108642.0,785.0,673.0,10041.0,49780.0,900053.0,6017438.0,2044.0,460.0,19059.0,43599.0,1578320.0,5439487.0
Puerto Rico,129.0,126.0,653.0,2627.0,172376.0,60384.0,128.0,43.0,652.0,2376.0,172374.0,57714.0,158.0,97.0,1333.0,1947.0,27517.0,205243.0
Qatar,164.0,67.0,3754.0,421.0,194085.0,30816.0,152.0,15.0,3735.0,342.0,192861.0,30270.0,140.0,91.0,713.0,3462.0,13704.0,211197.0
Romania,935.0,1422.0,19997.0,47416.0,2056062.0,2645554.0,832.0,575.0,19817.0,45213.0,2051116.0,2587805.0,1845.0,512.0,17318.0,50095.0,774651.0,3926965.0
Russian Federation,1929.0,12351.0,91005.0,655944.0,5575670.0,75793828.0,1582.0,5136.0,81334.0,554361.0,5502578.0,73966064.0,12950.0,1330.0,305211.0,441738.0,13085703.0,68283795.0
Rwanda,813.0,159.0,9835.0,2903.0,2226018.0,350507.0,655.0,58.0,8943.0,2417.0,2156333.0,324288.0,751.0,221.0,5914.0,6824.0,651701.0,1924824.0
Réunion,172.0,124.0,1498.0,1090.0,39191.0,69557.0,163.0,42.0,1476.0,936.0,39166.0,67108.0,176.0,120.0,1285.0,1303.0,38277.0,70471.0
Saba,6.0,,8.0,,361.0,,6.0,,8.0,,361.0,,,6.0,,8.0,,361.0
Saint Barthelemy,23.0,3.0,100.0,8.0,5954.0,58.0,23.0,,100.0,,5954.0,,6.0,20.0,11.0,97.0,182.0,5830.0
Saint Eustatius,11.0,1.0,19.0,1.0,1795.0,55.0,11.0,,19.0,,1795.0,,2.0,10.0,2.0,18.0,56.0,1794.0
Saint Helena,16.0,4.0,29.0,12.0,4028.0,316.0,16.0,2.0,29.0,5.0,4028.0,295.0,7.0,13.0,19.0,22.0,412.0,3932.0
Saint Kitts and Nevis,22.0,4.0,65.0,60.0,1669.0,37383.0,22.0,1.0,65.0,50.0,1669.0,36975.0,4.0,22.0,11.0,114.0,499.0,38553.0
Saint Lucia,93.0,32.0,392.0,326.0,41078.0,25802.0,90.0,13.0,384.0,192.0,40471.0,19995.0,76.0,49.0,488.0,230.0,50700.0,16180.0
Saint Martin,86.0,3.0,412.0,6.0,23218.0,27.0,83.0,,408.0,,23133.0,,26.0,63.0,175.0,243.0,13940.0,9305.0
Saint Pierre and Miquelon,26.0,1.0,72.0,12.0,3416.0,73.0,26.0,1.0,72.0,12.0,3416.0,73.0,4.0,23.0,19.0,65.0,86.0,3403.0
Saint Vincent and the Grenadines,46.0,32.0,281.0,315.0,37823.0,94550.0,45.0,14.0,279.0,280.0,37759.0,91220.0,54.0,24.0,475.0,121.0,122843.0,9530.0
Samoa,41.0,14.0,181.0,49.0,28569.0,752.0,40.0,7.0,178.0,33.0,28566.0,545.0,29.0,26.0,91.0,139.0,3757.0,25564.0
San Marino,78.0,6.0,1354.0,30.0,152111.0,343.0,72.0,3.0,1340.0,21.0,150697.0,251.0,33.0,51.0,169.0,1215.0,4629.0,147825.0
Sao Tome and Principe,26.0,3.0,61.0,7.0,2632.0,33.0,26.0,1.0,61.0,1.0,2632.0,1.0,7.0,22.0,17.0,51.0,595.0,2070.0
Saudi Arabia,421.0,974.0,4885.0,61093.0,1759591.0,2759271.0,395.0,324.0,4841.0,60026.0,1710476.0,2737654.0,1145.0,250.0,8291.0,57687.0,1396726.0,3122136.0
Senegal,538.0,282.0,4744.0,4585.0,1902849.0,1743513.0,488.0,93.0,4663.0,4139.0,1898453.0,1657440.0,580.0,240.0,4285.0,5044.0,1306944.0,2339418.0
Serbia,764.0,1010.0,31533.0,40867.0,3303516.0,5384803.0,694.0,347.0,31386.0,39163.0,3300556.0,5367094.0,1357.0,417.0,24858.0,47542.0,2677821.0,6010498.0
Seychelles,40.0,10.0,70.0,28.0,3147.0,1868.0,38.0,4.0,68.0,21.0,3144.0,1853.0,16.0,34.0,38.0,60.0,2275.0,2740.0
Sierra Leone,326.0,116.0,2766.0,2723.0,340552.0,453718.0,301.0,41.0,2700.0,2247.0,336231.0,431973.0,282.0,160.0,2907.0,2582.0,411527.0,382743.0
Singapore,485.0,274.0,32260.0,19491.0,492833.0,493740.0,409.0,103.0,31681.0,18391.0,484822.0,485779.0,471.0,288.0,4843.0,46908.0,71272.0,915301.0
Sint Maarten,65.0,1.0,311.0,1.0,16002.0,6.0,60.0,,302.0,,15896.0,,22.0,44.0,149.0,163.0,12350.0,3658.0
Slovakia,1111.0,845.0,16816.0,41560.0,1584954.0,3325297.0,977.0,454.0,16506.0,40692.0,1581175.0,3312921.0,1425.0,531.0,14018.0,44358.0,570766.0,4339485.0
Slovenia,849.0,474.0,16643.0,25869.0,950519.0,2848350.0,725.0,249.0,16440.0,25319.0,947474.0,2838286.0,948.0,375.0,10465.0,32047.0,1035773.0,2763096.0
Solomon Islands,76.0,28.0,382.0,747.0,29858.0,198023.0,72.0,5.0,367.0,701.0,29499.0,191857.0,55.0,49.0,347.0,782.0,48553.0,179328.0
Somalia,891.0,442.0,10690.0,12152.0,3157322.0,6420771.0,777.0,193.0,10379.0,11027.0,3128199.0,6316129.0,1066.0,267.0,8587.0,14255.0,1371858.0,8206235.0
South Africa,2090.0,1103.0,114342.0,115714.0,11177606.0,9967943.0,1683.0,386.0,112821.0,113296.0,11046078.0,9802194.0,2451.0,742.0,23263.0,206793.0,1934295.0,19211254.0
South Georgia and South Sandwich Islands,16.0,2.0,28.0,20.0,1968.0,74.0,16.0,1.0,28.0,19.0,1968.0,73.0,5.0,13.0,27.0,21.0,114.0,1928.0
South Korea,462.0,1160.0,9436.0,33738.0,510977.0,3550998.0,432.0,448.0,9398.0,31613.0,510012.0,3482278.0,1261.0,361.0,16810.0,26364.0,1121460.0,2940515.0
South Sudan,782.0,221.0,9964.0,4349.0,4768820.0,1073883.0,666.0,99.0,9585.0,3602.0,4735207.0,1006680.0,755.0,248.0,6532.0,7781.0,1262448.0,4580255.0
Spain,2018.0,5026.0,29945.0,230858.0,2684257.0,24333031.0,1746.0,2173.0,29445.0,222698.0,2665907.0,24087224.0,6034.0,1010.0,71136.0,189667.0,4390539.0,22626749.0
Sri Lanka,762.0,643.0,7475.0,16329.0,731602.0,2626156.0,646.0,209.0,7269.0,14643.0,692255.0,2494019.0,1155.0,250.0,12217.0,11587.0,1239129.0,2118629.0
Sudan,846.0,263.0,8420.0,4683.0,3082127.0,539762.0,746.0,105.0,8064.0,4043.0,3029634.0,479941.0,809.0,300.0,7451.0,5652.0,1205613.0,2416276.0
Suriname,1059.0,947.0,16717.0,12355.0,1106175.0,1032798.0,928.0,246.0,16253.0,7719.0,1081619.0,850369.0,1763.0,243.0,13740.0,15332.0,750636.0,1388337.0
Svalbard,65.0,1.0,170.0,69.0,12940.0,11192.0,63.0,1.0,167.0,69.0,12937.0,11192.0,24.0,42.0,144.0,95.0,13311.0,10821.0
Sweden,853.0,2328.0,12562.0,292988.0,4528969.0,14050710.0,744.0,1124.0,12339.0,289607.0,4521659.0,13947372.0,2697.0,484.0,241960.0,63590.0,5924065.0,12655614.0
Switzerland,2912.0,3306.0,41042.0,118837.0,2157320.0,5214192.0,2310.0,1564.0,39917.0,114492.0,2139649.0,5167296.0,5173.0,1045.0,55657.0,104222.0,1216937.0,6154575.0
Syria,805.0,473.0,5757.0,4094.0,715390.0,233641.0,694.0,171.0,5494.0,3464.0,694811.0,210144.0,1068.0,210.0,6068.0,3783.0,431800.0,517231.0
Tajikistan,1035.0,249.0,10522.0,5738.0,1171827.0,446471.0,844.0,98.0,9932.0,5104.0,1113333.0,408108.0,1058.0,226.0,6524.0,9736.0,482695.0,1135603.0
Tanzania,2936.0,3050.0,33376.0,160992.0,5680619.0,35824603.0,2432.0,1462.0,31687.0,153901.0,5552346.0,35286747.0,5272.0,714.0,104230.0,90138.0,16202177.0,25303045.0
Thailand,1126.0,1702.0,21071.0,39850.0,1647383.0,3438437.0,913.0,419.0,20554.0,36941.0,1634383.0,3326278.0,2315.0,513.0,14176.0,46745.0,806917.0,4278903.0
Timor-Leste,115.0,16.0,817.0,461.0,110911.0,4299.0,110.0,6.0,800.0,331.0,109490.0,3120.0,42.0,89.0,611.0,667.0,15593.0,99617.0
Togo,650.0,402.0,4284.0,8416.0,1035320.0,1371568.0,561.0,143.0,4008.0,7375.0,992863.0,1201002.0,882.0,170.0,7641.0,5059.0,1568632.0,838256.0
Tokelau,8.0,,11.0,,1213.0,,8.0,,11.0,,1213.0,,1.0,7.0,1.0,10.0,1.0,1212.0
Tonga,24.0,3.0,45.0,360.0,2287.0,2782.0,24.0,1.0,45.0,352.0,2287.0,2774.0,6.0,21.0,13.0,392.0,52.0,5017.0
Trinidad and Tobago,252.0,149.0,2868.0,2172.0,208061.0,118331.0,228.0,66.0,2825.0,1952.0,205274.0,110944.0,309.0,92.0,1997.0,3043.0,143688.0,182704.0
Tunisia,316.0,278.0,2989.0,9768.0,179349.0,1536438.0,304.0,68.0,2966.0,9230.0,179297.0,1519645.0,361.0,233.0,2680.0,10077.0,730859.0,984928.0
Turkey,1940.0,2665.0,23580.0,104461.0,3142778.0,10378788.0,1613.0,740.0,22891.0,94545.0,3066751.0,10148955.0,3925.0,680.0,65711.0,62330.0,2218802.0,11302764.0
Turkmenistan,212.0,192.0,3123.0,2725.0,220550.0,96243.0,197.0,75.0,3093.0,2531.0,219426.0,94489.0,252.0,152.0,859.0,4989.0,30744.0,286049.0
Turks and Caicos Islands,15.0,1.0,25.0,2.0,1073.0,2.0,15.0,1.0,25.0,2.0,1073.0,2.0,1.0,15.0,2.0,25.0,2.0,1073.0
Tuvalu,16.0,,22.0,,3155.0,,15.0,,21.0,,3144.0,,3.0,13.0,3.0,19.0,103.0,3052.0
US Virgin Islands,46.0,5.0,254.0,8.0,19024.0,202.0,45.0,1.0,253.0,2.0,19018.0,5.0,15.0,36.0,32.0,230.0,4958.0,14268.0
Uganda,1823.0,2067.0,18599.0,64744.0,4813347.0,23269331.0,1544.0,600.0,17399.0,53970.0,4667845.0,21975480.0,3400.0,490.0,39272.0,44071.0,7539466.0,20543212.0
Ukraine,1578.0,4955.0,58689.0,201440.0,4242989.0,21336180.0,1350.0,1914.0,58233.0,194680.0,4224533.0,21202445.0,5643.0,890.0,53914.0,206215.0,3378512.0,22200657.0
United Arab Emirates,357.0,330.0,8392.0,8600.0,701194.0,233240.0,316.0,78.0,8332.0,8173.0,699947.0,229240.0,480.0,207.0,2410.0,14582.0,104024.0,830410.0
United Kingdom,2291.0,9972.0,80064.0,620817.0,3315846.0,32470054.0,1959.0,4538.0,79416.0,606647.0,3301151.0,32158603.0,10927.0,1336.0,135858.0,565023.0,6725016.0,29060884.0
United States,4424.0,25985.0,115401.0,4104236.0,11208750.0,224471637.0,3592.0,10310.0,113298.0,4054759.0,11077428.0,221869114.0,27765.0,2644.0,372497.0,3847140.0,48337198.0,187343189.0
United States Minor Outlying Islands,28.0,1.0,68.0,1.0,5401.0,47.0,27.0,,64.0,,4863.0,,6.0,23.0,10.0,59.0,769.0,4679.0
Uruguay,288.0,143.0,12555.0,1640.0,576074.0,118718.0,264.0,45.0,12521.0,1450.0,575569.0,114986.0,237.0,194.0,1397.0,12798.0,52508.0,642284.0
Uzbekistan,850.0,1009.0,15287.0,16615.0,1285341.0,1494774.0,748.0,304.0,15059.0,14950.0,1262599.0,1384068.0,1596.0,263.0,9052.0,22850.0,716583.0,2063532.0
Vanuatu,83.0,35.0,456.0,822.0,43635.0,88729.0,74.0,11.0,422.0,725.0,41400.0,84542.0,69.0,49.0,299.0,979.0,23703.0,108661.0
Vatican City,372.0,30.0,4461.0,87.0,102993.0,678.0,294.0,4.0,4295.0,46.0,102069.0,152.0,233.0,169.0,1613.0,2935.0,29839.0,73832.0
Venezuela,1553.0,608.0,45399.0,15307.0,3804131.0,1369491.0,1197.0,203.0,44413.0,13639.0,3741932.0,1286758.0,1738.0,423.0,10791.0,49915.0,865037.0,4308585.0
Vietnam,1833.0,1976.0,96442.0,292681.0,11723454.0,21559449.0,1615.0,754.0,95783.0,287173.0,11666182.0,21350557.0,3191.0,618.0,75228.0,313895.0,2401080.0,30881823.0
Wallis and Futuna,14.0,1.0,30.0,4.0,6316.0,5.0,14.0,,30.0,,6316.0,,1.0,14.0,4.0,30.0,5.0,6316.0
Yemen,1000.0,724.0,9471.0,7919.0,1227378.0,592599.0,879.0,247.0,9198.0,6591.0,1196703.0,504611.0,1459.0,265.0,9644.0,7746.0,962815.0,857162.0
Zambia,708.0,2420.0,8165.0,30856.0,1781154.0,8682175.0,623.0,416.0,7981.0,19266.0,1763968.0,8219646.0,2846.0,282.0,22880.0,16141.0,2613219.0,7850110.0
Zimbabwe,908.0,312.0,7131.0,3523.0,949885.0,840198.0,606.0,78.0,5873.0,2724.0,817240.0,793204.0,1007.0,213.0,4891.0,5763.0,603233.0,1186850.0
