,Users,Users,Changesets,Changesets,Edits,Edits,Users with > 1 day,Users with > 1 day,Changesets from users with > 1 day,Changesets from users with > 1 day,Editsfrom users with > 1 day,Editsfrom users with > 1 day,Users with >= 42 Days,Users with >= 42 Days,Changesets from users with >= 42 days,Changesets from users with >= 42 days,Edits from users with >= 42 days,Edits from users with >= 42 days
is_local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,< 42 Days,">=42 Days
(""Active Contributors"")",< 42 Days,">=42 Days
(""Active Contributors"")",< 42 Days,">=42 Days
(""Active Contributors"")"
country,,,,,,,,,,,,,,,,,,
British Virgin Islands,22.0,4.0,104.0,28.0,8903.0,2954.0,22.0,3.0,104.0,27.0,8903.0,2951.0,7.0,19.0,38.0,94.0,2971.0,8886.0
Brunei Darussalam,183.0,55.0,1783.0,387.0,94463.0,12430.0,175.0,25.0,1766.0,299.0,93654.0,11225.0,83.0,155.0,681.0,1489.0,15531.0,91362.0
Bulgaria,513.0,507.0,9675.0,18208.0,702731.0,587087.0,473.0,215.0,9614.0,17586.0,701708.0,580287.0,692.0,328.0,8170.0,19713.0,342804.0,947014.0
Burkina Faso,1329.0,569.0,10930.0,5376.0,2450453.0,1101384.0,1142.0,212.0,10325.0,3577.0,2367824.0,945111.0,1546.0,352.0,9121.0,7185.0,1403271.0,2148566.0
Burundi,592.0,545.0,4537.0,18490.0,617614.0,2541868.0,510.0,228.0,4267.0,16977.0,589298.0,2411814.0,944.0,193.0,13509.0,9518.0,1155249.0,2004233.0
Cabo Verde,96.0,29.0,818.0,2741.0,17058.0,287670.0,92.0,7.0,812.0,2690.0,16743.0,277222.0,56.0,69.0,232.0,3327.0,15797.0,288931.0
Cambodia,603.0,336.0,17584.0,3207.0,1093625.0,123222.0,525.0,91.0,17170.0,2782.0,1078674.0,121539.0,601.0,338.0,4318.0,16473.0,205879.0,1010968.0
Cameroon,662.0,281.0,6175.0,21690.0,1785412.0,9115588.0,578.0,107.0,5925.0,19871.0,1774610.0,9031542.0,642.0,301.0,11678.0,16187.0,935359.0,9965641.0
Canada,2008.0,3970.0,44893.0,146043.0,6143278.0,26875161.0,1810.0,1597.0,44522.0,140000.0,6128324.0,26652064.0,4792.0,1186.0,52375.0,138561.0,10344975.0,22673464.0
Canarias,355.0,269.0,3796.0,4666.0,123984.0,736135.0,327.0,126.0,3739.0,4271.0,121634.0,729447.0,393.0,231.0,2901.0,5561.0,139073.0,721046.0
Cayman Islands,32.0,3.0,199.0,33.0,5749.0,113.0,32.0,2.0,199.0,32.0,5749.0,112.0,8.0,27.0,40.0,192.0,265.0,5597.0
Central African Republic,1297.0,1081.0,19801.0,23163.0,4834366.0,5129655.0,1018.0,439.0,18802.0,17863.0,4753778.0,4750701.0,2078.0,300.0,25212.0,17752.0,2354362.0,7609659.0
Chad,830.0,341.0,7448.0,4161.0,1558070.0,830389.0,735.0,116.0,6998.0,3126.0,1516665.0,750541.0,913.0,258.0,7002.0,4607.0,771744.0,1616715.0
Chile,634.0,1097.0,37193.0,46012.0,5039628.0,12053672.0,582.0,391.0,37068.0,44510.0,5035225.0,12011581.0,1319.0,412.0,8783.0,74422.0,784399.0,16308901.0
China,1557.0,3913.0,56423.0,153583.0,6770162.0,34467536.0,1408.0,1557.0,56202.0,148365.0,6758762.0,34284516.0,4481.0,989.0,38687.0,171319.0,3800213.0,37437485.0
Christmas Island,9.0,,15.0,,704.0,,9.0,,15.0,,704.0,,1.0,8.0,1.0,14.0,210.0,494.0
Cocos Islands,12.0,1.0,123.0,19.0,24872.0,31.0,11.0,,122.0,,24314.0,,2.0,11.0,20.0,122.0,589.0,24314.0
Colombia,2827.0,2804.0,122644.0,45681.0,7995815.0,5137371.0,2227.0,861.0,120838.0,38925.0,7881578.0,4849577.0,4945.0,686.0,31740.0,136585.0,2466751.0,10666435.0
Comoros,43.0,10.0,346.0,19.0,65695.0,168.0,43.0,,346.0,,65695.0,,17.0,36.0,33.0,332.0,460.0,65403.0
Congo,393.0,48.0,2555.0,471.0,431075.0,711525.0,334.0,16.0,2375.0,194.0,411862.0,589442.0,263.0,178.0,1531.0,1495.0,836863.0,305737.0
Congo DRC,2452.0,1260.0,32410.0,33594.0,11472079.0,10762385.0,1979.0,429.0,30504.0,28835.0,11201294.0,10341553.0,3054.0,658.0,25832.0,40172.0,4657567.0,17576897.0
Cook Islands,27.0,8.0,88.0,48.0,19941.0,3667.0,27.0,1.0,88.0,13.0,19941.0,1171.0,11.0,24.0,52.0,84.0,3848.0,19760.0
Costa Rica,342.0,333.0,4526.0,6240.0,408821.0,308325.0,317.0,107.0,4496.0,5720.0,408196.0,294736.0,461.0,214.0,3325.0,7441.0,129445.0,587701.0
Croatia,872.0,733.0,13477.0,36150.0,1922419.0,2812092.0,778.0,316.0,13320.0,34969.0,1919320.0,2774335.0,1170.0,435.0,13382.0,36245.0,1122726.0,3611785.0
Cuba,213.0,1008.0,3177.0,9795.0,325718.0,481147.0,194.0,313.0,3137.0,8738.0,325542.0,475833.0,1068.0,153.0,7537.0,5435.0,112566.0,694299.0
Curacao,66.0,69.0,663.0,929.0,38047.0,14038.0,60.0,14.0,657.0,773.0,38036.0,11706.0,85.0,50.0,442.0,1150.0,6989.0,45096.0
Cyprus,251.0,245.0,3959.0,4549.0,162272.0,424353.0,231.0,81.0,3932.0,4211.0,162108.0,419508.0,340.0,156.0,2776.0,5732.0,268277.0,318348.0
