0	American Samoa	AS	MULTIPOLYGON (((-170.6810751416999 -14.45335621598056, -170.9156285537457 -14.28551944886258, -170.5118033938995 -14.17153714596644, -170.4738733095408 -14.31749779597271, -170.6810751416999 -14.45335621598056)))
1	United States Minor Outlying Islands	UM	MULTIPOLYGON (((166.7562574913733 19.26052020084833, 166.6257364918743 19.18090523251344, 166.5105663400762 19.32481546422663, 166.6570724687317 19.42013758040506, 166.7562574913733 19.26052020084833)), ((-159.9950769468515 -0.494597465035852, -160.1425458299879 -0.405934158125246, -160.0563597695547 -0.276859545488657, -159.9159543935488 -0.349278292187697, -159.9950769468515 -0.494597465035852)), ((-169.5276893967985 16.83020240409642, -169.4271191886602 16.70520796338672, -169.5653690690775 16.62772096926879, -169.6341270754891 16.76026279637783, -169.5276893967985 16.83020240409642)), ((-176.4814794150372 0.319234408053992, -176.3597051028316 0.250053825942387, -176.4304196425229 0.120210849224972, -176.5623763298796 0.187384346178073, -176.4814794150372 0.319234408053992)), ((-176.5318774018714 0.807934690834181, -176.6191618318462 0.691739707138017, -176.7394748519734 0.766993108918587, -176.6755336609435 0.9028488895201719, -176.5318774018714 0.807934690834181)), ((-177.3280106911495 28.10642208866967, -177.4902696658483 28.15456745822795, -177.4166697148642 28.31170691728578, -177.2704652792583 28.26383331511356, -177.3280106911495 28.10642208866967)))
2	Cook Islands	CK	MULTIPOLYGON (((-157.6442392808393 -19.92979264310734, -157.8248500562777 -19.87185486817746, -157.7664286191454 -19.6890431327068, -157.6230602015074 -19.72800194042815, -157.6442392808393 -19.92979264310734)), ((-157.9191697860643 -22.04036217570293, -158.0637585928777 -21.91936902191754, -157.9189003959054 -21.78150414718889, -157.7838783411315 -21.92262008198724, -157.9191697860643 -22.04036217570293)), ((-158.1001749720955 -20.11780271193105, -158.2304049827021 -19.9936712966949, -158.1268445327908 -19.87249798506102, -157.983111485257 -19.97792126405803, -158.1001749720955 -20.11780271193105)), ((-159.6998930066671 -21.34489222713873, -159.9179162861884 -21.30185744352362, -159.885403814901 -21.10852225534587, -159.6736352879551 -21.13585159648293, -159.6998930066671 -21.34489222713873)), ((-163.1317391522612 -18.18455715957293, -163.2686545467675 -18.10694530768159, -163.1823807530791 -17.96535470011883, -163.0566970763071 -18.04170250730223, -163.1317391522612 -18.18455715957293)), ((-165.7854992524454 -10.97356741092111, -165.937344975035 -10.92983156312197, -165.8925122536807 -10.79451823205451, -165.7407480005814 -10.83184915952167, -165.7854992524454 -10.97356741092111)))
3	French Polynesia	PF	MULTIPOLYGON (((-138.9722706758647 -9.914653057609581, -139.2116923555539 -9.901673647951299, -139.2419347568922 -9.693484663827238, -138.7473311400105 -9.662084546676418, -138.7402811268741 -9.82524711747242, -138.9722706758647 -9.914653057609581)), ((-140.1019134256205 -9.020583188559366, -140.3144653201551 -8.976747366380666, -140.2810144872921 -8.694263764662809, -139.9304804767283 -8.8010003950262, -140.1019134256205 -9.020583188559366)), ((-149.8320178664182 -17.67190276745174, -150.0147227739119 -17.57396243318054, -150.0010349142794 -17.40714360931782, -149.4233790337833 -17.40304954499898, -149.054127798171 -17.85306843334284, -149.2803989316803 -17.95026197793752, -149.8320178664182 -17.67190276745174)), ((-151.4102217406817 -16.99839083844289, -151.5862923347812 -16.88161196472247, -151.4941329391889 -16.64208182220334, -151.2568743700898 -16.81239703139416, -151.4102217406817 -16.99839083844289)))
4	Niue	NU	MULTIPOLYGON (((-169.8751928149216 -19.24379140955386, -170.05221228235 -19.07551160683656, -169.8829868496249 -18.863351648191, -169.6815613170126 -19.06416596833741, -169.8751928149216 -19.24379140955386)))
5	Pitcairn	PN	MULTIPOLYGON (((-128.369505622204 -24.23447596090847, -128.2020831954688 -24.31283918403959, -128.2537174462769 -24.50413353006286, -128.4392578290765 -24.39460766067206, -128.369505622204 -24.23447596090847)), ((-130.0324531657046 -25.16943414509845, -130.1732039975053 -25.14529011754163, -130.1712082574442 -24.98647227729982, -129.9942303115667 -24.99647516505097, -130.0324531657046 -25.16943414509845)))
6	Samoa	WS	MULTIPOLYGON (((-172.7066928349706 -13.4147657748819, -172.2424620682829 -13.39288086481043, -172.0874842807191 -13.76089893607343, -171.5673757901468 -13.79304669123478, -171.3507830513091 -13.94226529711112, -171.359141583404 -14.11351310167429, -171.927237791931 -14.11119497949472, -172.1625016304985 -13.89318618563095, -172.5900524691558 -13.88106966609383, -172.8794501388576 -13.54329775094773, -172.7066928349706 -13.4147657748819)))
7	Tokelau	TK	MULTIPOLYGON (((-171.7597972459438 -9.265907322836732, -171.9238480890609 -9.285654463559162, -171.9333974804579 -9.110158134936681, -171.7767002409661 -9.105326734603837, -171.7597972459438 -9.265907322836732)))
8	Tonga	TO	MULTIPOLYGON (((-174.0910004796284 -18.52821029417784, -173.8794147858184 -18.48873687350846, -173.8190521496526 -18.67944737569778, -174.1062839629963 -18.75524128836215, -174.0910004796284 -18.52821029417784)), ((-175.1773336971953 -21.05166661055926, -174.9484712112434 -21.12703033115121, -175.1322857974552 -21.36774406678444, -175.4571501928132 -21.13980448196849, -175.3513201629341 -20.97127790294353, -175.1773336971953 -21.05166661055926)))
9	Wallis and Futuna	WF	MULTIPOLYGON (((-176.1572270721983 -13.45274960971277, -176.2904655576179 -13.29819331429327, -176.1463145977141 -13.11559153625201, -176.0232142038481 -13.24267101967285, -176.1572270721983 -13.45274960971277)), ((-178.0270257580694 -14.4180082984137, -178.2301369312514 -14.37276928579718, -178.255426263332 -14.16386481756831, -177.9595948764481 -14.26235822676679, -178.0270257580694 -14.4180082984137)))
